"Time","Source","Src Port","Destination","Dst Port","Protocol","Length","Data","Info"
"70.971685615","192.168.1.137","58034","204.79.197.200","443","TCP","60","","58034  >  443 [ACK] Seq=1 Ack=1 Win=263424 Len=0"
"70.976311603","192.168.1.137","58034","204.79.197.200","443","TLSv1.2","571","","Client Hello"
"70.978495330","204.79.197.200","443","192.168.1.137","58034","TCP","60","","443  >  58034 [ACK] Seq=1 Ack=518 Win=4194048 Len=0"
"70.979470938","204.79.197.200","443","192.168.1.137","58034","TLSv1.2","5522","","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"70.979471379","192.168.1.137","58034","204.79.197.200","443","TCP","60","","58034  >  443 [ACK] Seq=518 Ack=5469 Win=263424 Len=0"
"70.981679534","23.5.165.224","443","192.168.1.137","58032","TCP","325","","[TCP Retransmission] 443  >  58032 [PSH, ACK] Seq=3341 Ack=598 Win=64128 Len=271"
"70.981680065","192.168.1.137","58032","23.5.165.224","443","TCP","66","","58032  >  443 [ACK] Seq=598 Ack=3612 Win=262144 Len=0 SLE=3341 SRE=3612"
"70.982254967","192.168.1.254","53","192.168.1.137","58030","DNS","194","","Standard query response 0xaacc A assets.msn.com CNAME assets.msn.com.edgekey.net CNAME e28578.d.akamaiedge.net A 23.5.165.211 A 23.5.165.119"
"70.986083635","20.205.115.81","443","192.168.1.137","58033","TCP","66","","443  >  58033 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"70.986377663","192.168.1.137","58033","20.205.115.81","443","TCP","60","","58033  >  443 [ACK] Seq=1 Ack=1 Win=263424 Len=0"
"70.987832500","192.168.1.137","57291","34.149.211.227","443","TLSv1.2","457","","Application Data"
"70.988007485","192.168.1.137","57291","34.149.211.227","443","TCP","1514","","57291  >  443 [ACK] Seq=886 Ack=331 Win=1021 Len=1460 [TCP segment of a reassembled PDU]"
"70.988007545","192.168.1.137","57291","34.149.211.227","443","TLSv1.2","5706","","Application Data"
"70.988098469","192.168.1.137","58033","20.205.115.81","443","TLSv1.2","571","","Client Hello"
"70.990004962","34.149.211.227","443","192.168.1.137","57291","TCP","60","","443  >  57291 [ACK] Seq=331 Ack=886 Win=603 Len=0"
"70.990532183","34.149.211.227","443","192.168.1.137","57291","TCP","60","","443  >  57291 [ACK] Seq=331 Ack=2298 Win=614 Len=0"
"70.990532404","34.149.211.227","443","192.168.1.137","57291","TCP","60","","443  >  57291 [ACK] Seq=331 Ack=3710 Win=625 Len=0"
"70.990988397","34.149.211.227","443","192.168.1.137","57291","TCP","60","","443  >  57291 [ACK] Seq=331 Ack=5122 Win=636 Len=0"
"70.990988507","34.149.211.227","443","192.168.1.137","57291","TCP","60","","443  >  57291 [ACK] Seq=331 Ack=6534 Win=647 Len=0"
"70.991585617","192.168.1.137","58035","23.5.165.211","443","TCP","66","","58035  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"70.991585718","34.149.211.227","443","192.168.1.137","57291","TCP","60","","443  >  57291 [ACK] Seq=331 Ack=7946 Win=658 Len=0"
"70.991585738","34.149.211.227","443","192.168.1.137","57291","TCP","60","","443  >  57291 [ACK] Seq=331 Ack=7998 Win=658 Len=0"
